,title,date,author,level,length,icon
0,Introduction to Microsoft Copilot,Sep 1 2023,by Vlad Catrinescu,Beginner,1h 26m,https://pluralsight.imgix.net/course-images/microsoft-copilot-introduction-v1.jpg?w=120
1,Functional Programming in Rust 2021,Sep 1 2023,by Shaun Meyer,Intermediate,1h 14m,https://pluralsight.imgix.net/course-images/rust-2021-functional-programming-v1.jpg?w=120
2,Key Concepts: Data Architecture Design,Sep 1 2023,by Wilvie Anora,Beginner,1h 27m,https://pluralsight.imgix.net/course-images/data-architecture-design-key-concepts-v1.jpg?w=120
3,Introduction to the Microsoft Collaboration Communications Systems Engineer (MS-721) Exam,Sep 1 2023,by Jeff Brown,Beginner,29m,https://pluralsight.imgix.net/course-images/msft-collab-communications-systems-engineer-ms-721-exam-intro-cert-v1.jpg?w=120
4,Introduction to Emotional Intelligence,Sep 1 2023,by Jason Edleman,Beginner,1h 27m,https://pluralsight.imgix.net/course-images/introduction-emotional-intelligence-v1.jpg?w=120
5,Microsoft Purview: Manage and Protect On-premises Content,Aug 31 2023,by Liam Cleary,Intermediate,2h 45m,https://pluralsight.imgix.net/course-images/microsoft-purview-manage-protect-on-premises-content-v1.jpg?w=120
6,Apex Academy: SOQL and Working with Databases,Aug 31 2023,by Scott Lee,Beginner,1h 17m,https://pluralsight.imgix.net/course-images/apex-academy-soql-working-databases-v1.jpg?w=120
7,REST Assured Deep Dive,Aug 31 2023,by Andrejs Doronins,Advanced,2h 11m,https://pluralsight.imgix.net/course-images/rest-assured-deep-dive-v1.png?w=120
8,Apex Academy: Asynchronous Apex and Going Beyond Triggers,Aug 31 2023,by Scott Lee,Beginner,1h 31m,https://pluralsight.imgix.net/course-images/apex-academy-asynchronous-apex-triggers-v1.jpg?w=120
9,Using Generative AI to Troubleshoot Linux,Aug 31 2023,by Tim Warner,Intermediate,1h 16m,https://pluralsight.imgix.net/course-images/linux-using-generative-ai-troubleshoot-v1.jpg?w=120
10,Protect Windows Devices with Microsoft Intune,Aug 31 2023,by Dean Ellerby,Intermediate,59m,https://pluralsight.imgix.net/course-images/microsoft-intune-protect-windows-devices-v1.jpg?w=120
11,"The IT Ops Sessions: Ansible Generative AI with Lightspeed, Google Bard, and ChatGPT",Aug 30 2023,by Pluralsight,Intermediate,34m,https://pluralsight.imgix.net/course-images/ansible-gen-ai-lightspeed-google-bard-chatgpt-it-ops-sessions-v1.png?w=120
12,VMWare ESXi Vulnerability: What You Should Know,Aug 30 2023,by Pluralsight,Beginner,4m,https://pluralsight.imgix.net/course-images/vmware-esxi-vulnerability-wysk-v1.png?w=120
13,Introduction to Security Champion for Developers,Aug 30 2023,by Pluralsight,Beginner,10m,https://pluralsight.imgix.net/course-images/audience/generic.jpg?w=120
14,Security Hot Takes: SBOMs,Aug 30 2023,by Pluralsight,Beginner,18m,https://pluralsight.imgix.net/course-images/sboms-hot-take-v1.png?w=120
