source,target,edge
so  I,delicious  fruit,eat
particularly  it,particularly  Peru,like
I,late  flight,was able
we,sept 22nd,went from
very  we,help,accommodating with
breakfast,cheap tea US,was delicious
we,good  price,were able
you,toilet toilet,want
only  us,Tripadvisor recommendation,think
We,so  us,were
you,soon  Cusco,wish
stay,Tocuyeros Boutique hotel,was excellent
bedroom,size,was generous
very dining our,start  hiking,was
we,away  home,are committed
we,right  track,let
kind  We,you,Team
I,again  visitors,stay
Dear  scottmA4607GQ,amazing  comment,Thank
you,us,are glad
wonderful  you,time,is
We,great  hotel,had
greatly  flight,afternoon,were able
I,highly  place,recommend
Dear gentam2015,much  review,Thank
you,facilities,are pleased
you,next  vacation,Regards
This,perfect  Cusco,is
hotel staff,above  respect,went
cooking which,cooking chef,did
us,delayed  trek,helped
Cozy lobby,rooftop treat,was perfect
we,away  home,are committed
we,right  track,let
kind  We,you,regards
hidden  that,small boutique hotel,has
pleasant staff who,roof top reservation details,greeted by
where altitude all,luggage,brought
day  views,other,has
requested buffet everything,fresh  eggs,served
menu,restaurant,had
that,laundry  which,offered laundry
room,night,have vintage
level,service,appeared
big name you,big name try,recommend
i,which,book
1 wife that,perfect  vacation,booked
Staff,transport,recommend
guests,this,is
many  we,job,is
beautiful  meet,you,enjoy
wife,small cobblestone Cusco,stayed with
where  we,nights,nestled from great
in  we,helpful  what,was easy
we,everything,helped
We,excursions,went on
fresh  they,fresh  fruit,pack
night  we,down  breakfast,checked on
I,detail,say enough
I,highly boutique hotel,recommend
we,something,stayed at
so  you,beautiful  us,are
We,beloved Tocuyeros Team,Thank
how  guests,us,appreciate
family,amazing Tocuyeros Boutique nights,stayed at
high end place,high end hotel,thought of
so  we,boutique hotel,'m
ever  we,other  hotel,travel
check everything,check out,is
I,hotel,speak enough
when  we,Peru,know for sure
when  they,friends,be
we,guests,is great
gorgeous  meet,Peruvian painting class,remember
Tocuyeros Team,very  you,be
amazing Tocuyeros Boutique staff,so  check,was
when  girlfriend,altitude sickness,were
5 blood oxygen that,5  oxygen,was
you,us,are glad
wonderful  you,time,is
desejar pois todas,e eu tivemos,demora
Las,es del agua fundamental,habitaciones
very  someone,always  doorbell,was
San Blas San part,quirky  bits,is
I,awesome  Peru,got
I,base hotel,chose
multiple Inka they,taxi drop,set
when  I,also  laundry,stored
continental  room,continental  morning,have
who,stay,communicated with
me,requests,made
excellent  which,American  traveler,spoke excellent
I,great  aspects,recommend
they,laptop,are of
sink,cold  water,was small
staff,hotel,are fantastic
it,central  Cusco,Located at
Storage,long  trek,was available
Staff,so  tours,was great
simple  you,sights,recommend
place,Nice  balcony,room with
It,just days room,was
I,track,let
2  it,2  total,planned
when  I,back  Cuzco,stay
I,anyone,recommend
quilts,hotel,were
just  you,night,was
10  minutes,highly  it,’s
great  they,also laundry fee,included
highly  you,Cusco,provide
great  staff,very  translations,was
breakfast,fresh  juice,was
location,eateries,is near
female  I,very  time,felt
I,relaxed  atmosphere,liked
really  it,so city hill,been
wherever  you,lot  service,helps
affordable  that,San Blas,Found
private  room,30  soles,had for
booking me,bed,were
main  they,currently  that,is fast
even  I,currently  hostel,needed
She,also WhatsApp me,took
then  this,you,is
nos,viaje un abrazo,ayuda
times  Okidoki,times  years,friendly
It,private  street,'s
Monday night Monday earplugs,11  pm,writing at
We,small  Cusco,had
Location,5 min center,was
2018 HokiDoki I,closeby  restaurant,stayed
time  Marse,home,is
so  I,three bed row,had
always  courtyard,hot  beverages,is
I,really  home,felt at
longer  I,Cusco,forget
hostel it,hostel world,found
"10/10*,agradezco tu opinión",crecer mas,give
you,budget travel,is
hostel,many  restaurants,is
close,markets,are friendly
it,historic  Cuzco,felt safe
It,good  money,'s
I,highly  hostel,reccommend
It,many  shops,is in
gracias por opinión esto,crecer mas,ayuda
far  nobody,them,tried
experience,therefore  it,leaves
Muchas  gracias,tus comentarios,por
Muchas  gracias,tus comentarios,por
very  experience,much  comments,makes
We,Selina family,welcome
hostel,many travel agencies,is
This,perfect  Cusco,was
you,us,are
place,fair  prices,decorated with
We,double  bed,booked
which,hours,provided
other  we,two  Peru,was quiet
day breakfast Selina,other,have
Both,more  that,were decent
several  staff,very luggage storing,provides several
Overall  we,stay,enjoyed
you,us,are glad
super  staff,5 Selina Saphi,were
Alex,much  pisco,was
best  we,trip,made
fun we,then  drinks,planner
you,fun,are glad
breakfast,really  it,are great
You,restaurant  bar,is
very  experience,expectations,’re
tirelessly  guests,best  experience,working
you,chance,hope
We,you,let
so  that,so  everyone,was
even  you,him,need
rooms,best,were clean
very  you,us,’re
great  Cusco,great  things,hope
soon  we,you,miss
Me,2  nights,spent
Where  we,it,enjoy
location,differents  town,was near
sister,extremely Selena Cusco,were
so  we,two day schedule,had
design  Selena,design  that,was
It,Peruvian  prints,decorated with Peruvian
clean  bed,clean  sheets,had white
that,hostel,stayed at
first  we,private  bathroom,booked
on  1,am,loved
around  guests,loud  doors,made worse
enough  cleaners,8  am,knocked on
front  they,next  reservation,speak to
We,very  upgrade,were
private  we,absolutely  bathroom,was
very  lots,different  spaces,is
I,highly  restaurant,recommend
sister,really  it,had
back breakfast food,back  Selena,make
large dining sister,large dining that,had
you,plates,had
Selina,also  events,offers
much  we,Lima,enjoyed
We,other Selina Peru,received
I,Selena,stay at
disinterested  I,Peru,greeted by
she,reservation,was ready
we,us,asked
she,finally  room,said
we,us,pay
I,phone,add
I,right  price,started
rest,payment,was smooth
private  I,Peru,room
though  hostel,labyrinth,say
else  you,other  travelers,Find
you,issues,know more
you,directly  email,bring
hostel,good dormitory price,offers
bed,own  socket,are clean
many  thanks,comment,hope
Cusco,historic South Perù,is
base,city,was
colonnial  that,so  others,building
that,immediately  hotel,is
plastic  that,age,covered with
you,curtains,face into
room,large  bathroom,was
archaic door locking that,better  museum,was
breakfast,excellent  coffee,was
warm  we,Perùvian  people,were excellent
cathedral,country,stands as
It,doubt,is huge
one Inca thing,Cusco,is
Inca,as  site,Be sure
five hundred background that,emotion,Workmanship
where  I,strongly Trip Advisor rating,is
hotel,4 star rating,is
3 star rating,3  stars,claims
old  who,old  town,are
inwards  windows,inner  courtyards,’s
noise,very  room,causes
buffet,next  window,set
I,different  one,are
We,hotel,liked
other  we,anything,see
outside  noise,outside  world,were
little  noise,door,came
We,even  stairs,awaken multiple
1  family,hospital,stayed at
extreme altitude we,Colorado,told
We,only travel credit,tried
It,night,was noisy
rooms,bed holes,smelled like
so  I,them,were dingy
where  we,decent  food,know
when  room,walls,know
gad,them,were old
when  I,water,had
long  I,long  tub,hair in
☕  ️,mildly  it,put
first  interior,first  sight,looked modern
this,cracks,paves over
Noise,broken wafer sleep,travels
We,3  this,stayed for
when  that,itinerary,working at
This,three star explanation,is unacceptable
taxi,9:30am,asked
taxi we,taxi meaning,had
you,better  sleep,’m sure
best  it,main  plaza,was
especially  I,Peru SMH,was
I,4  nights,stayed
fourth  which,fourth  floor,given
beds,also  pillows,were
indeed roof staff,roof night,were
they,taxi tours,helped
which,food,thing
all  I,really  hotel,recommend
super  rooms,blocks Main Square,were
very  staff,more  hostel,’s
single  I,single  dorm,have
it,bunk,’s
hour concierge that,bags,is
location,very  city,is
time  I,Peru,was
I,place,loved
design,vintage  feel,has
It,rather boutique hostel,felt like
I,shared  bathroom,stayed in
extremely  you,extremely  whatever,is
taxi,4  am,was
even  they,even  taxi,helped
I,special staff team,appreciate
I,Casa city,like
showers,more  privacy,shared
warm breakfast we,also  suggestions,improving
next  trips,South America,hope
We,late Casa Nov,spent
we,well Casa Tunki,was longer
Ronnie,incredible  hostel,done
private  which,needs,stayed in
also  you,early  starts,was excellent
We,fantastic  food,ate at
particular  I,Peru,was
Highly  you,once  Cusco,recommend
Dear Richard Dear We,very  comments,are
hotel facilities,liking,are pleased
team,great  service,assured
Finding,hostel,was awesome
Inca I,so Casa Tunki,booked
where  I,sleep,was
I,5 star hotel,felt
yet  I,6  months,think
It,de  Armas,located to
other  who,special Casa Tunki,are grateful
I,team,give
It,true  visit,was
We,Thanks  preference,hope
who,it,been fantastic
where  they,ahead  appointment,had
late  I,hospital,let
top restaurant location,top restaurant standard,be
again  I,Cusco,extended
when  I,it,Thank
twice  we,other  hostel,came
house,high  details,is
food,Peruvian  cults,is great
host,where  Cuzco,place
best  Food,service,recommended
we,sometimes  hostel,staying more
CASA,great  everybody,TUNKI
We,absolutely Cooper Hotel,loved
They,good tea altitude,have
free  which,fresh  pancakes,have free
out airport pickup we,when  Cusco,stored
we,3  am,were on
quieter  it,quieter  room,came
they,currently  hands,said
quiet  you,night,be
I,hotel,appreciate
best  we,best  way,makes
that,peace,are sorry
We,it,working on
This,de  Armas,is
They,lobby desk area,have
it,busy  street,was loud
we,one,move
we,what,was
light  that,light,is
so  room,completely  time,is
2022  we,Inca Trail,went
drinks  you,drinks  nuts,was
They,hot  tea,had hot
best  we,Peru,is
go AM we,late afternoon flight,were able
We,Cusco,recommend
much hotel you,stay,'m sure
